X,Y,OBJECTID,METER_ID,LOCATION,SIDE_OF_STREET,BLOCKFACE,METER_STATUS,TOW_AWAY_HOURS,METER_TIME,HANDICAP,HOURS_OPERATION,IN_SERVICE,VALET_HOURS,RATE,FOOD_SERVICE_HOURS,TAXI_ZONE_HOURS,CHARGING_STATION,CHARGING_STATION_STATUS
1828630.884054392576218,710272.80471271276474,6941,B314,SYCAMORE ST W,North,HIGH ST - WALL ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828650.356784477829933,710276.813891053199768,6940,B316,SYCAMORE ST W,North,HIGH ST - WALL ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828670.975181564688683,710279.10489696264267,6939,B318,SYCAMORE ST W,North,HIGH ST - WALL ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828691.593250557780266,710281.968408301472664,6938,B320,SYCAMORE ST W,North,HIGH ST - WALL ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828712.784153059124947,710284.832247719168663,6937,B322,SYCAMORE ST W,North,HIGH ST - WALL ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828194.733351901173592,711512.178218215703964,7050,B502,FRONT ST S,East,BLENKNER ST - LIVINGSTON AVE,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828197.429540723562241,711492.856078386306763,7049,B504,FRONT ST S,East,BLENKNER ST - LIVINGSTON AVE,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828200.670675978064537,711470.616949632763863,7048,B506,FRONT ST S,East,BLENKNER ST - LIVINGSTON AVE,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828204.194290980696678,711448.740352958440781,7047,B508,FRONT ST S,East,BLENKNER ST - LIVINGSTON AVE,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828207.998089149594307,711426.862443968653679,7046,B510,FRONT ST S,East,BLENKNER ST - LIVINGSTON AVE,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828266.350990816950798,711031.538103386759758,7045,B534,FRONT ST S,East,BLENKNER ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828268.753216981887817,711009.667740300297737,7044,B536,FRONT ST S,East,BLENKNER ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828283.024513900279999,710904.863487958908081,7043,B538,FRONT ST S,East,BECK ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828285.726936310529709,710886.63419371843338,7042,B540,FRONT ST S,East,BECK ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828289.389986723661423,710864.283188551664352,7041,B542,FRONT ST S,East,BECK ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
1828292.633090481162071,710842.408232301473618,7040,B544,FRONT ST S,East,BECK ST - HOSTER ST,Operational,0,180,0,8A-10P,14,,  $.75,,,No,
