ticket_id,fine,violation_code,entity,car_make,issue_time,latitude,longitude,total_tickets,officer_badge,amount_paid,location,meter_id,meter_status,rate,date_issued
5568069816,30.0,29,3654282,HYUN,09:21 PM,39.985932,-83.00615,0,18.0,30.0,W/S GREENWOOD LOT,F48,Operational,,2017-12-21
5568044664,30.0,29,3669089,GMC,08:08 PM,39.98596,-83.00622,0,18.0,0.0,W/S GREENWOOD LOT,F48,Operational,,2017-12-13
5568330382,30.0,29,2802650,NISS,08:34 AM,39.985906,-83.0063,0,8.0,30.0,GREENWOOD LOT@HIGH ST N,F48,Operational,,2018-03-31
5568407732,30.0,29,3163426,SAAB,09:25 PM,39.985811,-83.006048,0,19.0,0.0,GREENWOOD LOT@HIGH ST N,F48,Operational,,2018-04-14
5568241110,30.0,29,3681300,CHEV,09:16 PM,39.985901,-83.006216,0,18.0,0.0,W/S GREENWOOD LOT,F48,Operational,,2018-03-04
5568117626,30.0,29,2706830,MERZ,10:56 AM,39.962076,-83.001682,2,2.0,0.0,21 BROAD ST W,WN11,Operational,  $.75,2018-01-23
5568228311,30.0,29,3382802,CHEV,01:30 PM,39.962151,-83.001598,0,2.0,45.0,21 BROAD ST W,WN11,Operational,  $.75,2018-03-02
5568027761,55.0,14,3662226,ACUR,09:43 AM,39.963678,-83.001766,0,16.0,55.0,ELM ST W@WALL ST N,WN106,Operational,  $.75,2017-12-07
5568370466,30.0,29,2778219,KIA,09:32 PM,39.961803,-83.002438,0,13.0,30.0,100 BLOCK BROAD ST W,WN106,Operational,  $.75,2018-04-07
5568085780,50.0,72,3565747,CADI,11:49 AM,39.961553,-83.00227,0,2.0,50.0,BROAD ST W@FRONT ST N,WN106,Operational,  $.75,2018-01-04
5568027746,30.0,29,3667864,FORD,09:32 AM,39.961706,-83.002816,0,16.0,30.0,90 BROAD ST W,WN106,Operational,  $.75,2017-12-07
5568027750,50.0,72,3667864,FORD,09:34 AM,39.961658,-83.00269,0,16.0,50.0,90 BROAD ST W,WN106,Operational,  $.75,2017-12-07
5568375263,30.0,29,3519691,JEEP,05:15 PM,39.975268,-83.004621,0,20.0,0.0,600 BLOCK PARK ST,K332,Operational,,2018-04-08
5568371656,30.0,29,3676712,MERZ,09:50 PM,39.975018,-83.004453,0,20.0,0.0,600 BLOCK PARK ST,K332,Operational,,2018-04-07
5568235355,30.0,29,3680966,CHEV,02:40 PM,39.975353,-83.004705,0,9.0,0.0,PARK ST@RUSSELL ST W,K332,Operational,,2018-03-03
5568074274,30.0,29,3630388,HOND,02:10 PM,39.975422,-83.004537,0,2.0,45.0,632 PARK ST,K332,Operational,,2018-01-03
5568190916,30.0,29,3506590,NISS,08:19 AM,39.975018,-83.004453,0,9.0,0.0,PARK ST@RUSSELL ST W,K332,Operational,,2018-02-17
5568127990,30.0,29,3674169,NISS,07:06 PM,39.975497,-83.004453,0,19.0,30.0,E/S PARK ST,K332,Operational,,2018-01-24
5568289443,30.0,29,3677478,HOND,09:18 PM,39.975455,-83.004411,0,13.0,0.0,E/S PARK ST,K332,Operational,,2018-03-23
5568257685,30.0,29,3682315,HOND,03:02 PM,39.972214,-83.004285,0,14.0,30.0,200BLK HIGH ST N,NK265,Operational,  $.75,2018-03-10
5568252225,30.0,29,3431034,FORD,03:09 PM,39.967536,-83.0015,1,16.0,0.0,HIGH ST N@CHESTNUT ST,NK265,Operational,  $.75,2018-03-08
5568070553,30.0,29,2881961,HOND,12:25 PM,39.9791,-83.004034,0,15.0,45.0,815 HIGH ST N,K651,Operational,,2017-12-22
5568137451,55.0,50,3644303,TOYT,08:59 AM,39.988098,-83.008231,0,10.0,55.0,1285 DENNISON AVE@SMITH PLACE,K651,Operational,,2018-01-28
5568137440,55.0,7,3674878,NISS,08:54 AM,39.980472,-83.010161,0,10.0,70.0,A/F921 HUNTER AVE@1ST AVE W,K651,Operational,,2018-01-28
5568125783,50.0,72,3674094,BMW,12:55 PM,39.979139,-83.003949,0,15.0,65.0,815 HIGH ST N,K651,Operational,,2018-01-24
5568070564,50.0,72,2881961,HOND,12:26 PM,39.979103,-83.00396,0,15.0,65.0,815 HIGH ST N,K651,Operational,,2017-12-22
5568336435,30.0,29,3686581,CHEV,08:57 AM,39.979064,-83.004033,0,2.0,0.0,815 HIGH ST N,K651,Operational,,2018-04-03
5568086292,30.0,29,3586972,TOYT,02:54 PM,39.979144,-83.004033,0,16.0,30.0,815 HIGH ST N,K651,Operational,,2018-01-04
5568137425,30.0,29,3360386,HOND,08:34 AM,39.979139,-83.003949,0,10.0,30.0,815 HIGH ST N@HUBBARD AVE W,K651,Operational,,2018-01-28
5568323986,50.0,72,3685577,FORD,04:58 PM,39.979144,-83.004033,0,19.0,50.0,815 HIGH ST N,K651,Operational,,2018-03-29
5568237396,30.0,29,3681032,TOYT,07:20 PM,39.97967,-83.004159,0,18.0,30.0,815 HIGH ST N,K651,Operational,,2018-03-03
5568167153,30.0,29,2968633,ACUR,08:44 PM,39.979134,-83.003865,0,19.0,45.0,W/S HIGH ST N,K651,Operational,,2018-02-08
5568081252,30.0,29,3670927,JEEP,08:26 PM,39.979273,-83.003905,0,18.0,30.0,815 HIGH ST N,K651,Operational,,2017-12-29
5568137436,39.0,10,3637966,FORD,08:50 AM,39.980391,-83.008818,0,10.0,54.0,915 DENNISON AVE@1ST AVE W,K651,Operational,,2018-01-28
5568238590,30.0,29,3681713,NISS,05:21 PM,39.979692,-83.003865,0,19.0,30.0,W/S PEARL ST N,K1403,Operational,,2018-03-07
5568010504,30.0,29,3666816,MAZD,06:08 PM,39.979896,-83.003277,0,18.0,45.0,AF 848 PEARL ST N,K1403,Operational,,2017-11-30
5568196365,30.0,29,3581839,JEEP,04:15 PM,39.979902,-83.003361,0,18.0,0.0,AF 848 PEARL ST N,K1403,Operational,,2018-02-18
5568192994,50.0,72,3644035,JAGU,12:19 PM,39.979896,-83.003277,0,9.0,50.0,PEARL ST N@HUBBARD AVE E,K1403,Operational,,2018-02-17
5568032366,50.0,72,3654258,AUDI,05:09 PM,39.979662,-83.003361,0,18.0,50.0,AF 848 PEARL ST N,K1403,Operational,,2017-12-08
5568370750,30.0,29,3684944,CHEV,08:34 PM,39.979896,-83.003277,0,19.0,0.0,800 BLOCK PEARL ST N,K1403,Operational,,2018-04-07
5568137683,30.0,29,3675059,FORD,12:01 PM,39.979662,-83.003361,0,15.0,30.0,AF 848 PEARL ST N,K1403,Operational,,2018-01-30
5568293746,30.0,29,3684304,NISS,08:57 AM,39.979453,-83.003307,0,16.0,45.0,PEARL ST N@PRESCOTT ST E,K1403,Operational,,2018-03-22
5568300746,50.0,72,3684393,CHRY,01:45 PM,39.979536,-83.003258,0,16.0,0.0,PEARL ST N@PRESCOTT ST E,K1403,Operational,,2018-03-22
5568210096,30.0,29,3679401,HOND,12:52 PM,39.96218,-83.000759,0,9.0,30.0,BROAD ST W@HIGH ST S,WN5,Operational,  $.75,2018-02-24
5568009211,30.0,29,3221082,TOYT,10:39 AM,39.961936,-83.000675,0,2.0,30.0,BROAD ST W@HIGH ST S,WN5,Operational,  $.75,2017-11-30
5568053285,30.0,29,3651511,MAZD,01:14 PM,39.96219,-83.000927,0,16.0,45.0,BROAD ST W@HIGH ST S,WN5,Operational,  $.75,2017-12-16
5568118536,30.0,29,3673637,CHRY,06:58 PM,39.96218,-83.000759,0,13.0,0.0,S/S BROAD ST W,WN5,Operational,  $.75,2018-01-20
5568163196,30.0,29,2985345,MERZ,01:35 PM,39.962445,-83.001179,0,14.0,30.0,100BLK BROAD ST W,WN5,Operational,  $.75,2018-02-09
5568036161,30.0,29,3668279,ACUR,02:29 PM,39.975685,-83.00227,0,9.0,65.0,PEARL ST N@RUSSELL ST E,K1153,Operational,,2017-12-09
5568342503,30.0,29,3686552,HOND,08:31 PM,39.975679,-83.002186,0,19.0,30.0,600 BLOCK PEARL ST N,K1153,Operational,,2018-04-01
5568418954,30.0,29,3622278,HOND,07:55 PM,39.976423,-83.002606,1,18.0,0.0,700 BLOCK PEARL ST N,K1153,Operational,,2018-04-19
5568227246,50.0,72,3684482,TOYT,07:29 PM,39.975679,-83.002186,0,18.0,65.0,W/S PEARL ST N,K1153,Operational,,2018-03-01
5568227235,30.0,29,3684482,TOYT,07:27 PM,39.97564,-83.002858,0,18.0,45.0,W/S PEARL ST N,K1153,Operational,,2018-03-01
5568174680,30.0,29,3679856,BUIC,12:45 PM,39.975996,-83.002519,0,16.0,30.0,PEARL ST N@RUSSELL ST E,K1153,Operational,,2018-02-27
5568243420,30.0,29,3653584,LEXU,08:28 AM,39.967822,-83.000969,2,2.0,0.0,CHESTNUT ST@HIGH ST N,EV9,Operational,  $.75,2018-03-07
5568113334,30.0,29,3325776,ACUR,03:00 PM,39.9677,-83.000927,0,12.0,30.0,35 CHESTNUT ST,EV9,Operational,  $.75,2018-01-18
5568246242,30.0,29,3681657,CADI,01:31 PM,39.967944,-83.001011,0,2.0,30.0,CHESTNUT ST@HIGH ST N,EV9,Operational,  $.75,2018-03-07
5568419352,30.0,29,3690290,HOND,01:54 PM,39.96811,-83.001174,0,16.0,30.0,100 BLOCK CHESTNUT ST,EV9,Operational,  $.75,2018-04-19
5568088344,30.0,29,3447864,HOND,10:10 AM,39.967939,-83.000927,2,12.0,0.0,35 CHESTNUT ST,EV9,Operational,  $.75,2018-01-05
5568187862,30.0,29,3663806,NISS,10:41 AM,39.97648,-83.004873,0,14.0,30.0,600BLK PARK ST,K410,Operational,,2018-02-18
5568159011,50.0,26,3549117,NISS,06:51 PM,39.97648,-83.004873,0,13.0,0.0,696 PARK ST,K410,Operational,,2018-02-04
5568060031,30.0,29,3575221,DODG,10:54 AM,39.97648,-83.004873,0,8.0,45.0,696 PARK ST,K410,Operational,,2017-12-19
5568274393,30.0,29,3653282,CHEV,04:21 PM,39.960348,-82.990263,1,18.0,0.0,AF 323 TOWN ST E,EI408,Operational,  $.75,2018-03-16
5568309172,30.0,29,3674107,HOND,12:36 PM,39.959728,-82.991229,0,9.0,30.0,TOWN ST E@6TH ST S,EI408,Operational,  $.75,2018-03-24
5568067941,30.0,29,3670180,HOND,08:14 AM,39.959653,-82.991313,0,9.0,65.0,TOWN ST E@GRANT AVE S,EI408,Operational,  $.75,2017-12-22
5568062886,30.0,29,3231174,HOND,08:56 AM,39.959653,-82.991313,0,12.0,45.0,323 TOWN ST E,EI408,Operational,  $.75,2017-12-21
5568376313,55.0,14,3570847,HOND,02:01 AM,39.95961,-82.991271,0,14.0,0.0,300 BLOCK TOWN ST E,EI408,Operational,  $.75,2018-04-11
5568245531,30.0,29,3681556,AUDI,09:03 AM,39.95976,-82.991332,0,16.0,30.0,TOWN ST E@5TH ST S,EI408,Operational,  $.75,2018-03-07
5568325283,30.0,29,3685689,KIA,10:43 AM,39.959695,-82.991355,0,2.0,0.0,323 TOWN ST E,EI408,Operational,  $.75,2018-03-30
5568150703,30.0,29,3675887,MERZ,02:43 PM,39.959653,-82.991313,0,12.0,30.0,323 TOWN ST E,EI408,Operational,  $.75,2018-02-02
5568161155,30.0,29,3676562,FORD,08:54 AM,39.959653,-82.991313,0,2.0,0.0,TOWN ST E@6TH ST S,EI408,Operational,  $.75,2018-02-07
5568272470,30.0,29,3682286,NISS,10:08 AM,39.959653,-82.991313,0,2.0,0.0,TOWN ST E@6TH ST S,EI408,Operational,  $.75,2018-03-16
5568161273,30.0,29,3359845,TOYT,01:04 PM,39.959653,-82.991313,0,2.0,30.0,323 TOWN ST E,EI408,Operational,  $.75,2018-02-07
5568293374,30.0,29,3684364,FORD,12:13 PM,39.959653,-82.991313,0,14.0,0.0,300BLK TOWN ST E,EI408,Operational,  $.75,2018-03-22
5568339740,30.0,29,3686400,CHEV,05:59 PM,39.95768,-83.001598,0,13.0,0.0,W/S 2ND ST,SG127,Operational,  $.75,2018-04-01
5568097142,50.0,72,3672313,JEEP,11:07 AM,39.955934,-83.00311,0,16.0,65.0,2ND ST@MAIN ST W,SG127,Operational,  $.75,2018-01-11
5568140984,30.0,29,3674962,FORD,09:46 PM,39.995101,-83.007895,0,18.0,30.0,N/S 11TH AVE W,UW110,Operational,  $.75,2018-01-28
5568339143,30.0,29,3638912,JEEP,09:19 PM,39.99508,-83.007559,0,18.0,30.0,100 11TH AVE W,UW110,Operational,  $.75,2018-03-31
5568293186,30.0,29,3635633,FORD,03:06 PM,39.994946,-83.007979,1,7.0,0.0,AF33 11TH AVE W,UW110,Operational,  $.75,2018-03-21
5568192261,30.0,29,3678448,HYUN,08:27 PM,39.995021,-83.007895,0,13.0,30.0,N/S 11TH AVE W,UW110,Operational,  $.75,2018-02-17
5568124814,30.0,29,3673948,LEXU,01:15 PM,39.995386,-83.00865,0,15.0,30.0,AF 33 11TH AVE W,UW110,Operational,  $.75,2018-01-23
5568352233,30.0,29,3686972,BUIC,06:57 PM,39.995116,-83.008147,0,20.0,30.0,N/S 11TH AVE W,UW110,Operational,  $.75,2018-04-04
5568215991,30.0,29,3679739,HOND,09:32 PM,39.995085,-83.007643,0,18.0,45.0,AF 33 11TH AVE W,UW110,Operational,  $.75,2018-02-25
5568027643,30.0,29,3540086,KIA,02:10 PM,39.977836,-83.003529,0,16.0,30.0,WARREN ST@HIGH ST N,K130,Operational,,2017-12-06
5568131825,50.0,72,3590630,NISS,10:57 PM,39.978145,-83.003361,1,18.0,0.0,N/S WARREN ST,K130,Operational,,2018-01-25
5568171353,30.0,29,3625737,LAND,09:39 PM,39.97815,-83.003445,0,19.0,45.0,N/S WARREN ST,K130,Operational,,2018-02-09
5568195573,30.0,29,3608841,FORD,11:18 AM,39.977677,-83.003529,0,2.0,0.0,WARREN ST@HIGH ST N,K130,Operational,,2018-02-21
5568411125,30.0,29,3658818,VOLK,09:00 PM,39.97814,-83.003277,0,18.0,0.0,100 BLOCK WARREN ST,K130,Operational,,2018-04-15
5568105483,30.0,29,2564946,JEEP,09:53 AM,39.978001,-83.003613,0,2.0,30.0,WARREN ST@HIGH ST N,K130,Operational,,2018-01-17
5568231973,30.0,29,3636062,CHEV,08:36 AM,39.976219,-83.003193,0,9.0,0.0,WARREN ST@HIGH ST N,K130,Operational,,2018-03-03
5568250125,30.0,29,3681859,MAZD,11:05 AM,39.977921,-83.003613,0,2.0,0.0,WARREN ST@HIGH ST N,K130,Operational,,2018-03-08
5568272676,30.0,29,3683223,TOYT,08:24 AM,39.975499,-83.003823,0,8.0,0.0,RUSSELL ST W@HIGH ST N,K208,Operational,,2018-03-16
5568321061,30.0,29,3673921,FORD,11:15 AM,39.975499,-83.003823,0,12.0,30.0,22 RUSSELL ST W,K208,Operational,,2018-03-29
5568231155,50.0,72,3598259,FORD,04:38 PM,39.975526,-83.003613,0,18.0,65.0,22 RUSSELL ST W,K208,Operational,,2018-03-03
